נושא,קטגוריה,קיים_בוויקיפדיה,קישור_אנגלית_עברית,הצעה_לפרויקט,english_term,english_description
ארכאובוטניקה,ארכאולוגיה של ארץ ישראל,False,https://en.wikipedia.org/wiki/Paleoethnobotany,New,,
ארכאומטריה,ארכאולוגיה של ארץ ישראל,False,-,New,Archaeometry,"Application of scientific analysis (chemical, physical, mathematical) to archaeological materials to determine their age, provenance, and composition"
ארכאולוגיה חישובית,ארכאולוגיה של ארץ ישראל,False,https://en.wikipedia.org/wiki/Computational_archaeology,New,,
ארכאולוגיה של הנוף,ארכאולוגיה של ארץ ישראל,False,https://en.wikipedia.org/wiki/Landscape_archaeology,New,,
ארכאולוגיה ביזנטית בנגב,ארכאולוגיה של ארץ ישראל,False,-,New,Byzantine Archaeology in the Negev,"Study of Byzantine-period (4th–7th c. CE) remains in the Negev desert, including churches, monasteries, towns, and agricultural installations"
ארכאולוגיה של ימי הביניים בארץ ישראל,ארכאולוגיה של ארץ ישראל,False,-,New,Medieval Archaeology in the Land of Israel,"Archaeological study of the early Islamic, Crusader, Ayyubid, and Mamluk periods (7th–16th c. CE) in Israel/Palestine"
סחר בעתיקות,ארכאולוגיה של ארץ ישראל,False,https://en.wikipedia.org/wiki/Antiquities_trade,New,,
היסטוריוגרפיה של העלייה הראשונה,תולדות עם ישראל,False,https://he.wikipedia.org/wiki/%D7%94%D7%A2%D7%9C%D7%99%D7%99%D7%94_%D7%94%D7%A8%D7%90%D7%A9%D7%95%D7%A0%D7%94,New,Historiography of the First Aliyah,"Scholarly analysis of how historians have documented and interpreted the First Aliyah (1882–1903), the first wave of modern Jewish immigration to Ottoman Palestine"
יהדות אתיופיה (הרחבה),תולדות עם ישראל,True,https://he.wikipedia.org/wiki/%D7%99%D7%94%D7%93%D7%95%D7%AA_%D7%90%D7%AA%D7%99%D7%95%D7%A4%D7%99%D7%94,Extend,Ethiopian Jewry (Beta Israel),"History and culture of the Beta Israel community, including their religious traditions, practices, and modern immigration to Israel"
יהדות אמריקה הלטינית (קטגוריה עם הרבה ערכים חסרים),תולדות עם ישראל,True,-,Add multiple new entries,Latin American Jewry,"History, culture, and communities of Jewish populations across Latin America, including immigration waves and communal institutions"
הלכות דעות,תולדות עם ישראל,False,-,New,Hilchot De'ot (Laws of Character Traits),"Section of Maimonides' Mishneh Torah addressing ethics, temperament regulation, and proper moral conduct based on the principle of the golden mean"
כתאב-י אנוסי (ספר האנוסים),תולדות עם ישראל,False,-,New,Kitab-i Anusi (Book of the Forced Converts),17th-century Persian Jewish chronicle by Babai ibn Lutf documenting forced conversions of Persian Jews to Islam and their covert maintenance of Jewish practice
ספר התקנות של פאס,תולדות עם ישראל,False,-,New,Takkanot of Fez (Book of Regulations of Fez),"Compilation of communal ordinances enacted by the Jewish community of Fez, Morocco, governing religious, civil, and social life"
ספרות ערבית-יהודית,תולדות עם ישראל,False,https://he.wikipedia.org/wiki/%D7%A2%D7%A8%D7%91%D7%99%D7%AA_%D7%99%D7%94%D7%95%D7%93%D7%99%D7%AA,Extend/New,Judeo-Arabic Literature,"Literature produced by Jews in Judeo-Arabic (Arabic written in Hebrew script), encompassing religious philosophy, poetry, and science, especially in the medieval Islamic world"
יהדות הודו – קהילות ופזורה (הרחבה),תולדות עם ישראל,True,https://he.wikipedia.org/wiki/%D7%99%D7%94%D7%93%D7%95%D7%AA_%D7%94%D7%95%D7%93%D7%95,Extend,Indian Jewry – Communities and Diaspora,"Overview of the distinct Jewish communities of India (Bene Israel, Cochin Jews, Baghdadi Jews), their history, traditions, and diaspora ties"
זיהוי חלקי דיבר,מדעי הרוח הדיגיטליים,False,https://en.wikipedia.org/wiki/Part-of-speech_tagging,New,,
דיגיטציה של כתבי יד עבריים,מדעי הרוח הדיגיטליים,False,-,New,Digitization of Hebrew Manuscripts,"Systematic conversion of Hebrew manuscript collections into digital form for preservation, online access, and scholarly research"
קריאה רחוקה,מדעי הרוח הדיגיטליים,False,https://en.wikipedia.org/wiki/Distant_reading,New,,
רוברטו בוסה,מדעי הרוח הדיגיטליים,False,https://en.wikipedia.org/wiki/Roberto_Busa,New,,
אחזור מידע,מדעי הרוח הדיגיטליים,False,https://en.wikipedia.org/wiki/Information_retrieval,New,Information Retrieval,"The science of searching for and retrieving relevant documents or data from large collections, foundational to search engines and digital libraries"
חילוץ מידע,מדעי הרוח הדיגיטליים,False,https://en.wikipedia.org/wiki/Information_extraction,New,,
בינה מלאכותית בפרשנות טקסטים,מדעי הרוח הדיגיטליים,False,-,New,Artificial Intelligence in Textual Interpretation,"Use of AI and NLP methods (machine learning, neural networks) to analyze, interpret, and extract meaning from historical and literary texts"
מפות דיגיטליות לחקר ארץ ישראל,מדעי הרוח הדיגיטליים,False,-,New,Digital Mapping for the Study of the Land of Israel,"Use of GIS and digital cartography to spatially represent and analyze archaeological, historical, and cultural data related to the Land of Israel"
HathiTrust,מדעי הרוח הדיגיטליים,True,https://en.wikipedia.org/wiki/HathiTrust,New,HathiTrust / חתיטראסט,HathiTrust Digital Library is a large-scale collaborative repository of digital content from research libraries  administered by the University of Michigan. Its holdings include content digitized via Google Books and the Internet Archive digitization initiatives
