מסמך,שם_קצר,טקסט_קצר,מילים,סיכום_AI,סיווג_AI,ציון_עניין
1,תל מגידו,תל מגידו הוא אחד האתרים הארכאולוגיים החשובים ביותר בישראל ובעולם. החפירות שנערכו...,69,הטקסט עוסק באחד מהתחומים המרכזיים של מדעי הרוח. ניתן לזהות בו קווי מחקר חשובים ותרומה משמעותית לשדה. הממצאים מספקים בסיס לחקירה עמוקה יותר.,"{""קטגוריה"": ""ארכיאולוגיה"", ""תקופה"": ""עתיקה"", ""ביטחון"": 0.88}",1
2,גניזת קהיר,"גניזת קהיר היא אוסף של כ-400,000 קטעי כתב יד יהודיים שנתגלו בסוף המאה ה-19 בבית ...",83,הטקסט עוסק באחד מהתחומים המרכזיים של מדעי הרוח. ניתן לזהות בו קווי מחקר חשובים ותרומה משמעותית לשדה. הממצאים מספקים בסיס לחקירה עמוקה יותר.,"{""קטגוריה"": ""מדעי הרוח הדיגיטליים"", ""תקופה"": ""עכשווי"", ""ביטחון"": 0.85}",0
3,"פרויקט השו""ת","פרויקט השו""ת הוא מאגר דיגיטלי המכיל את כלל ספרות ההלכה היהודית — למעלה מ-300,000...",78,הטקסט עוסק באחד מהתחומים המרכזיים של מדעי הרוח. ניתן לזהות בו קווי מחקר חשובים ותרומה משמעותית לשדה. הממצאים מספקים בסיס לחקירה עמוקה יותר.,"{""קטגוריה"": ""מדעי הרוח הדיגיטליים"", ""תקופה"": ""עכשווי"", ""ביטחון"": 0.85}",0
4,מגילות ים המלח,מגילות ים המלח הן אוסף כתבי יד ייחודי שנתגלה בין השנים 1947–1956 במערות קומראן ש...,62,הטקסט עוסק באחד מהתחומים המרכזיים של מדעי הרוח. ניתן לזהות בו קווי מחקר חשובים ותרומה משמעותית לשדה. הממצאים מספקים בסיס לחקירה עמוקה יותר.,"{""קטגוריה"": ""ארכיאולוגיה"", ""תקופה"": ""עתיקה"", ""ביטחון"": 0.88}",1
5,מצדה,מצדה היא מצודה הרודיאנית המשקיפה על ים המלח מגובה של כ-450 מטר מעל פני הים. יגאל...,70,הטקסט עוסק באחד מהתחומים המרכזיים של מדעי הרוח. ניתן לזהות בו קווי מחקר חשובים ותרומה משמעותית לשדה. הממצאים מספקים בסיס לחקירה עמוקה יותר.,"{""קטגוריה"": ""ארכיאולוגיה"", ""תקופה"": ""עתיקה"", ""ביטחון"": 0.88}",1
6,עיר דוד,"עיר דוד היא אתר ארכיאולוגי בירושלים, המזוהה עם העיר הכנענית-יבוסית שכבש דוד המלך...",56,הטקסט עוסק באחד מהתחומים המרכזיים של מדעי הרוח. ניתן לזהות בו קווי מחקר חשובים ותרומה משמעותית לשדה. הממצאים מספקים בסיס לחקירה עמוקה יותר.,"{""קטגוריה"": ""ארכיאולוגיה"", ""תקופה"": ""עתיקה"", ""ביטחון"": 0.88}",0
7,גירוש ספרד,"גירוש ספרד בשנת 1492 הוא אחד האירועים המכוננים בתולדות עם ישראל. כ-200,000 יהודי...",64,הטקסט עוסק באחד מהתחומים המרכזיים של מדעי הרוח. ניתן לזהות בו קווי מחקר חשובים ותרומה משמעותית לשדה. הממצאים מספקים בסיס לחקירה עמוקה יותר.,"{""קטגוריה"": ""היסטוריה"", ""תקופה"": ""עת החדשה"", ""ביטחון"": 0.83}",2
8,עיתונות עברית,"פרויקט Jpress, שפותח בספריה הלאומית של ישראל, אוסף ומדגם עיתונות עברית ויידישאית...",64,הטקסט עוסק באחד מהתחומים המרכזיים של מדעי הרוח. ניתן לזהות בו קווי מחקר חשובים ותרומה משמעותית לשדה. הממצאים מספקים בסיס לחקירה עמוקה יותר.,"{""קטגוריה"": ""מדעי הרוח הדיגיטליים"", ""תקופה"": ""עכשווי"", ""ביטחון"": 0.85}",0
9,אוצר הלשון,"המילון ההיסטורי ללשון העברית, פרויקט של האקדמיה ללשון העברית, שואף לתעד כל מילה ...",59,הטקסט עוסק באחד מהתחומים המרכזיים של מדעי הרוח. ניתן לזהות בו קווי מחקר חשובים ותרומה משמעותית לשדה. הממצאים מספקים בסיס לחקירה עמוקה יותר.,"{""קטגוריה"": ""מדעי הרוח הדיגיטליים"", ""תקופה"": ""עכשווי"", ""ביטחון"": 0.85}",0
10,ארכיון עות׳מאני,ארכיון האימפריה העות׳מאנית בקושטא (איסטנבול) הוא מהארכיונים החשובים ביותר למחקר ...,62,הטקסט עוסק באחד מהתחומים המרכזיים של מדעי הרוח. ניתן לזהות בו קווי מחקר חשובים ותרומה משמעותית לשדה. הממצאים מספקים בסיס לחקירה עמוקה יותר.,"{""קטגוריה"": ""היסטוריה"", ""תקופה"": ""עת החדשה"", ""ביטחון"": 0.83}",1
